candidate_id,Tech_Fit,Context_Fit,Behavior_Fit,Profile_Strength_Score,Final_Score_NDCG,rank_score,rank,reasoning
CAND_0069905,3,4,3,76,3,3.3000000000000003,21,"Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. [6.6y exp; Bhubaneswar, Odisha-based; notice 90d]"
CAND_0021827,4,3,2,71,3,3.3,22,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [4.4y exp; Kochi, Kerala-based; notice 90d]"
CAND_0046278,4,3,2,73,4,3.3,23,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [4.6y exp; Ahmedabad, Gujarat-based]"
CAND_0079284,4,3,2,73,4,3.3,24,"Most of my time went into the feature pipeline (~200 features) and the A/B testing infrastructure. [4.9y exp; Hyderabad, Telangana-based]"
CAND_0079830,4,3,2,73,4,3.3,25,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [3.6y exp; Kolkata, West Bengal-based; notice 120d]"
CAND_0074123,4,3,2,83,4,3.3,26,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [6.9y exp; Bhubaneswar, Odisha-based]"
CAND_0070333,4,3,2,64,3,3.3,27,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [4.7y exp; Bhubaneswar, Odisha-based]"
CAND_0046108,4,3,2,57,2,3.3,28,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [3.6y exp; Ahmedabad, Gujarat-based; notice 90d]"
CAND_0016267,4,3,2,78,4,3.3,29,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [3.6y exp; Coimbatore, Tamil Nadu-based; notice 120d]"
CAND_0080472,4,3,2,64,3,3.3,30,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [4.4y exp; Hyderabad, Telangana-based; notice 120d]"
CAND_0085557,4,3,2,64,3,3.3,31,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [3.1y exp; Coimbatore, Tamil Nadu-based; notice 120d]"
CAND_0095884,4,3,2,55,2,3.3,32,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [3.8y exp; Bangalore, Karnataka-based]"
CAND_0097896,4,3,1,60,2,3.1,33,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [4.8y exp; Jaipur, Rajasthan-based; notice 120d]"
CAND_0055673,4,3,1,61,2,3.1,34,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [3.7y exp; Hyderabad, Telangana-based; notice 120d]"
CAND_0011162,3,3,3,48,2,3.0,35,"Mentored a junior engineer through their first end-to-end ML project last year. [5.8y exp; Coimbatore, Tamil Nadu-based; notice 90d]"
CAND_0001405,4,1,3,60,2,2.9,36,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [3.5y exp; Kochi, Kerala-based; notice 90d]"
CAND_0058463,2,4,3,62,2,2.8000000000000003,37,"Backend + data hybrid role at a growth-stage startup. [7.5y exp; Kolkata, West Bengal-based]"
CAND_0004650,2,4,3,44,2,2.8000000000000003,38,"Career has been entirely in QA/test engineering. [8.0y exp; Pune, Maharashtra-based; notice 90d]"
CAND_0081948,2,4,3,63,2,2.8000000000000003,39,"Backend + data hybrid role at a growth-stage startup. [7.3y exp; Hyderabad, Telangana-based]"
CAND_0077285,2,4,3,67,2,2.8000000000000003,40,"Mentored a junior engineer through their first end-to-end ML project last year. [5.5y exp; Ahmedabad, Gujarat-based]"
CAND_0082067,2,4,3,53,2,2.8000000000000003,41,My career has been entirely on mobile so far; interested in expanding into broader backend or platform engineering. [7.2y exp; Toronto-based]
CAND_0073804,2,4,3,53,2,2.8000000000000003,42,"Mixed data science and analytics-engineering role at a marketing-analytics startup. [7.2y exp; Mumbai, Maharashtra-based]"
CAND_0030049,2,4,3,49,2,2.8000000000000003,43,"Designed and maintained the analytical data warehouse on Snowflake supporting the BI team's ~50 dashboards. [7.0y exp; Chandigarh, Chandigarh-based; notice 90d]"
CAND_0028426,2,4,3,43,2,2.8000000000000003,44,"Career has been entirely in QA/test engineering. [6.8y exp; Trivandrum, Kerala-based]"
CAND_0018150,2,4,3,63,2,2.8000000000000003,45,"Career has been entirely in QA/test engineering. [6.2y exp; Coimbatore, Tamil Nadu-based; notice 90d]"
CAND_0062545,2,4,3,62,2,2.8000000000000003,46,"My career has been entirely on mobile so far; interested in expanding into broader backend or platform engineering. [7.1y exp; Kolkata, West Bengal-based; notice 90d]"
CAND_0094482,2,4,3,43,2,2.8000000000000003,47,"The work was a mix of modeling, analysis, and stakeholder communication with the operations team. [6.4y exp; Singapore-based; notice 90d]"
CAND_0070514,2,4,3,46,2,2.8000000000000003,48,"The work was a mix of modeling, analysis, and stakeholder communication with the operations team. [5.5y exp; Bangalore, Karnataka-based]"
CAND_0032374,2,4,3,62,2,2.8000000000000003,49,"Career has been entirely in QA/test engineering. [8.9y exp; Mumbai, Maharashtra-based; notice 90d]"
CAND_0010176,2,4,3,66,2,2.8000000000000003,50,"Most of my career has been data engineering, with some adjacent ML exposure. [5.4y exp; Noida, Uttar Pradesh-based]"
CAND_0066690,2,3,4,54,2,2.7,51,"The work was a mix of modeling, analysis, and stakeholder communication with the operations team. [4.8y exp; Gurgaon, Haryana-based]"
CAND_0043676,2,4,2,50,2,2.6,52,"The work was a mix of modeling, analysis, and stakeholder communication with the operations team. [6.1y exp; Delhi, Delhi-based]"
CAND_0096904,2,4,2,45,2,2.6,53,"Most of my career has been data engineering, with some adjacent ML exposure. [5.0y exp; Kolkata, West Bengal-based; notice 90d]"
CAND_0012632,2,4,2,49,2,2.6,54,"The churn model is now used by the retention team, though my role was more on the modeling side than the productionization. [6.0y exp; Austin-based; notice 120d]"
CAND_0028318,2,4,2,55,2,2.6,55,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [6.4y exp; Coimbatore, Tamil Nadu-based; notice 120d]"
CAND_0074312,2,4,2,65,2,2.6,56,"My career has been entirely on mobile so far; interested in expanding into broader backend or platform engineering. [6.4y exp; Chandigarh, Chandigarh-based]"
CAND_0079417,2,4,2,66,2,2.6,57,"My career has been entirely on mobile so far; interested in expanding into broader backend or platform engineering. [8.2y exp; Coimbatore, Tamil Nadu-based; notice 120d]"
CAND_0069113,2,4,2,44,2,2.6,58,"Most of my career has been data engineering, with some adjacent ML exposure. [7.6y exp; Delhi, Delhi-based]"
CAND_0031470,2,4,2,43,2,2.6,59,Career has been entirely in QA/test engineering. [5.3y exp; Singapore-based]
CAND_0077261,2,4,2,64,2,2.6,60,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [5.7y exp; Chandigarh, Chandigarh-based]"
CAND_0048774,2,4,2,62,2,2.6,61,"The pipeline supports the analytics team and a few internal ML models. [7.1y exp; Noida, Uttar Pradesh-based; notice 90d]"
CAND_0097141,2,4,2,56,2,2.6,62,"Career has been entirely in QA/test engineering. [7.4y exp; Hyderabad, Telangana-based; notice 150d]"
CAND_0015928,2,4,2,52,2,2.6,63,"Mixed data science and analytics-engineering role at a marketing-analytics startup. [5.2y exp; Bhubaneswar, Odisha-based; notice 120d]"
CAND_0066944,2,4,2,57,2,2.6,64,"Mixed data science and analytics-engineering role at a marketing-analytics startup. [7.0y exp; Ahmedabad, Gujarat-based; notice 90d]"
CAND_0007836,2,4,2,61,2,2.6,65,"My career has been entirely on mobile so far; interested in expanding into broader backend or platform engineering. [6.8y exp; Coimbatore, Tamil Nadu-based; notice 90d]"
CAND_0012947,2,4,2,65,2,2.6,66,"Most of my career has been data engineering, with some adjacent ML exposure. [7.6y exp; Chennai, Tamil Nadu-based]"
CAND_0027039,2,4,2,54,2,2.6,67,"Career has been entirely in QA/test engineering. [6.2y exp; Chandigarh, Chandigarh-based; notice 90d]"
CAND_0026411,2,4,2,61,2,2.6,68,"Most of my career has been data engineering, with some adjacent ML exposure. [6.2y exp; Kolkata, West Bengal-based; notice 120d]"
CAND_0085222,2,4,2,61,2,2.6,69,"Most of my career has been data engineering, with some adjacent ML exposure. [5.6y exp; Kochi, Kerala-based; notice 120d]"
CAND_0094728,2,4,2,67,2,2.6,70,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [6.5y exp; Chennai, Tamil Nadu-based]"
CAND_0091443,2,4,2,62,2,2.6,71,"My career has been entirely on mobile so far; interested in expanding into broader backend or platform engineering. [8.0y exp; Vizag, Andhra Pradesh-based; notice 120d]"
CAND_0009542,2,4,2,53,2,2.6,72,"Career has been entirely in QA/test engineering. [8.1y exp; Jaipur, Rajasthan-based; notice 90d]"
CAND_0042407,2,4,2,44,2,2.6,73,"Career has been entirely in QA/test engineering. [7.0y exp; Ahmedabad, Gujarat-based; notice 120d]"
CAND_0040487,2,4,2,61,2,2.6,74,"Backend + data hybrid role at a growth-stage startup. [5.9y exp; Indore, Madhya Pradesh-based; notice 120d]"
CAND_0097176,2,4,2,69,3,2.6,75,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. [5.9y exp; Gurgaon, Haryana-based]"
CAND_0081235,2,4,2,43,2,2.6,76,Career has been entirely in QA/test engineering. [6.4y exp; Singapore-based; notice 150d]
CAND_0086460,2,4,2,65,2,2.6,77,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [6.2y exp; Indore, Madhya Pradesh-based; notice 120d]"
CAND_0007900,2,3,3,57,2,2.5,78,"My career has been entirely on mobile so far; interested in expanding into broader backend or platform engineering. [10.0y exp; Bhubaneswar, Odisha-based; notice 90d]"
CAND_0013392,2,3,3,51,2,2.5,79,"Most of my career has been data engineering, with some adjacent ML exposure. [4.6y exp; Kochi, Kerala-based; notice 90d]"
CAND_0032527,2,3,3,57,2,2.5,80,"The work was a mix of modeling, analysis, and stakeholder communication with the operations team. [3.9y exp; Ahmedabad, Gujarat-based]"
CAND_0055580,2,3,3,45,2,2.5,81,"Most of my career has been data engineering, with some adjacent ML exposure. [4.7y exp; Chandigarh, Chandigarh-based; notice 90d]"
CAND_0009360,2,3,3,38,2,2.5,82,"Career has been entirely in QA/test engineering. [3.5y exp; Kochi, Kerala-based]"
CAND_0024027,2,3,3,56,2,2.5,83,"Career has been entirely in QA/test engineering. [4.9y exp; Delhi, Delhi-based; notice 90d]"
CAND_0056543,2,3,3,42,2,2.5,84,"The pipeline supports the analytics team and a few internal ML models. [3.1y exp; Delhi, Delhi-based; notice 90d]"
CAND_0056058,2,3,3,33,2,2.5,85,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [3.4y exp; Jaipur, Rajasthan-based]"
CAND_0048265,2,3,3,42,1,2.5,86,"Set up the training pipeline (data loading, augmentation, evaluation) and the inference service. [4.3y exp; Hyderabad, Telangana-based]"
CAND_0078545,2,3,3,54,2,2.5,87,"Career has been entirely in QA/test engineering. [9.5y exp; Kochi, Kerala-based; notice 90d]"
CAND_0050622,2,3,3,51,2,2.5,88,"My career has been entirely on mobile so far; interested in expanding into broader backend or platform engineering. [4.3y exp; Kolkata, West Bengal-based; notice 90d]"
CAND_0082279,2,3,3,54,2,2.5,89,"Career has been entirely in QA/test engineering. [9.6y exp; Ahmedabad, Gujarat-based; notice 90d]"
CAND_0003575,2,3,3,34,2,2.5,90,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [3.7y exp; Ahmedabad, Gujarat-based]"
CAND_0084393,2,3,3,54,2,2.5,91,"My career has been entirely on mobile so far; interested in expanding into broader backend or platform engineering. [9.2y exp; Noida, Uttar Pradesh-based; notice 90d]"
CAND_0071747,2,3,3,48,2,2.5,92,"The churn model is now used by the retention team, though my role was more on the modeling side than the productionization. [4.2y exp; Kolkata, West Bengal-based; notice 90d]"
CAND_0062658,2,3,3,55,2,2.5,93,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [4.2y exp; Trivandrum, Kerala-based; notice 90d]"
CAND_0084765,2,3,3,58,2,2.5,94,"Career has been entirely in QA/test engineering. [10.0y exp; Indore, Madhya Pradesh-based; notice 90d]"
CAND_0008139,2,3,3,53,2,2.5,95,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [4.8y exp; Trivandrum, Kerala-based; notice 90d]"
CAND_0057283,2,3,3,51,2,2.5,96,"Most of my career has been data engineering, with some adjacent ML exposure. [4.2y exp; Delhi, Delhi-based]"
CAND_0039613,2,3,3,33,2,2.5,97,"My career has been entirely on mobile so far; interested in expanding into broader backend or platform engineering. [4.7y exp; Trivandrum, Kerala-based; notice 90d]"
CAND_0087841,2,3,3,54,2,2.5,98,"Built NLP pipelines for sentiment analysis and document classification — primarily for an internal feedback-analytics dashboard. [3.7y exp; Kochi, Kerala-based]"
CAND_0016657,2,3,3,53,2,2.5,99,"My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and writing the model-serving observability layer. [5.3y exp; Delhi, Delhi-based]"
CAND_0014292,2,3,3,36,2,2.5,100,"Backend + data hybrid role at a growth-stage startup. [3.5y exp; Noida, Uttar Pradesh-based]"
